Name,Employer,From,Experience,Keys
Разработчик C#,AISA,100000.0,От 1 года до 3 лет,"['C#', '.NET Framework', 'Windows Forms', 'SQL', 'PostgreSQL', 'JSON', 'REST', 'HTTP', 'HTML', 'Entity Framework', 'Git', 'Jira']"
Сервисный инженер по модульному ремонту компьютеров и смартфонов,Кузница Кадров,,От 1 года до 3 лет,"['Adobe Photoshop', 'Ремонт ПК', 'Работа в команде', 'Windows 7', 'Розничная торговля', 'Пользователь ПК', 'Гарантийное обслуживание', 'Послепродажное обслуживание', 'ремонт телефонов', 'Модульный ремонт', 'Ремонт техники', 'Мастер', 'Инженер']"
Senior Front-End Developer,Cytiva,,От 3 до 6 лет,"['JavaScript', 'CSS', 'Angular', 'TypeScript', 'HTML', 'CI/CD', 'AWS']"
Инженер-механик (грузоподъёмное оборудование),Агентство КИТ Консалт,70000.0,От 3 до 6 лет,['Водительское удостоверение категории B']
Маркетолог,Домострой,75000.0,От 1 года до 3 лет,[]
Разработчик PHP,Эдутех,,От 1 года до 3 лет,"['JavaScript', 'MySQL', 'Yii', 'Веб-программирование', 'PHP5', 'PHP', 'ООП', 'API']"
Программист 1С,Сфера,156600.0,От 1 года до 3 лет,"['1С: Управление Торговлей', '1С программирование', 'ERP-системы на базе 1С', '1С: Зарплата и управление персоналом', '1С: Предприятие 8']"
Junior Software Analyst (Product Management),Veeam Software,,От 1 года до 3 лет,[]
ServiceNow Application Administrator,Veeam Software,,От 1 года до 3 лет,"['ITIL', 'AngularJS', 'Unix', 'HTML5', 'Team management']"
Frontend-разработчик (VueJS),AISA,100000.0,От 1 года до 3 лет,"['HTML5', 'CSS3', 'JavaScript', 'VueJS', 'Git']"
Frontend-разработчик (ReactJS),AISA,100000.0,От 1 года до 3 лет,"['HTML5', 'CSS3', 'JavaScript', 'ReactJS', 'Git']"
QA-инженер в gamedev-компанию,Силиз,87000.0,От 1 года до 3 лет,"['QA', 'Тестирование', 'Git', 'Функциональное тестирование', 'Тестирование пользовательского интерфейса', 'Регресcионное тестирование', 'SQL', 'HTTP', 'Bash', 'Python', 'Scrum', 'Shell Scripting']"
Ведущий инженер-программист по разработке программного обеспечения микроконтроллеров,Импульс-Автоматика,108750.0,Более 6 лет,"['C++', 'STL', 'STM32', 'IAR Embedded Workbench', 'ARM', 'FreeRTOS', 'UART', 'I2C', 'SPI']"
Senior Frontend Developer,Xfamily,298668.0,От 3 до 6 лет,"['JavaScript', 'Node.js', 'HTML', 'CSS', 'Английский язык', 'Vue.js&Vuex', 'Nuxt.js']"
Оператор лазерного станка,НК ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ,60000.0,От 1 года до 3 лет,[]
"Ведущий специалист поддержки систем Atlassian (Jira, Confluence)",СберРешения,,От 1 года до 3 лет,"['Atlassian Jira', 'Linux', 'C#', 'PHP', 'Коммуникабельность']"
Digital маркетолог,EX CORP.,,От 3 до 6 лет,[]
Старший дизайнер коммуникаций,Криптоюниверс Маркет,,От 1 года до 3 лет,[]
QA JAVA (Автотестирование),HR Prime,,От 3 до 6 лет,"['Java', 'Maven', 'Git', 'postman', 'Selenium IDE']"
Программист 1С,Группа компаний АФГ Националь,90000.0,От 3 до 6 лет,"['1С: Управление Производственным Предприятием', '1С программирование', '1С: Зарплата и управление персоналом', 'MS SQL', 'SQL', 'Системная интеграция', 'Кд2', 'Оптимизация систем', 'MS SQL Server', 'ЭДО', 'Рефакторинг кода']"
2D Artist middle+ (художник иллюстрации / иконки / скетчи / окружение) Freelance,Infinite Art Solutions,,От 3 до 6 лет,"['Adobe Photoshop', 'Работа в команде', 'Креативность', 'Illustration', 'Artist', 'Gamedev']"
Project Manager / Менеджер Проектов,Evercode Lab,,От 1 года до 3 лет,"['Управление проектами', 'Agile Project Management', 'Деловая коммуникация', 'Аналитическое мышление']"
Бизнес-аналитик,Insitech Development,,От 3 до 6 лет,"['Atlassian Confluence', 'Системное мышление', 'Анализ бизнес показателей', 'Аналитика', 'Навыки презентации', 'Atlassian Jira', 'B2B', 'Коммуникативные навыки', 'Analysis']"
Product Owner (Producer) GameDev,ROCKSTONE,,От 3 до 6 лет,"['Обучение персонала', 'Бизнес-анализ', 'Тренинги', 'Обучение и развитие', 'Управление командой', 'Развитие продукта (AERM, FTUE)', 'Анализ затрат', 'Лидерство', 'Командообразование', 'Стратегия Развития', 'Деловая коммуникация', 'Управление временем', 'Тайм-менеджмент', 'Внутренний контроль', 'Управление процессами']"
Game Designer / Геймдизайнер,ROCKSTONE,,От 1 года до 3 лет,"['Game Design', 'Креативность', 'Unity', 'Монетизация', 'Игровые метрики', 'Мобильные игры', 'Управление командой']"
Game Designer,ROCKSTONE,,От 1 года до 3 лет,"['Game Design', 'Аналитика', 'F2P']"
Специалист поддержки пользователей,KUPIBILET.RU,35000.0,Нет опыта,"['Работа с претензиями', 'Техническая поддержка', 'Пользователь ПК', 'Консультирование клиентов', 'Деловая переписка', 'Деловое общение']"
Копирайтер в SEO отдел,МАКСИМУС МЕДИА,20000.0,От 1 года до 3 лет,"['Копирайтинг', 'Наполнение контентом', 'Рерайтинг', 'SMM', 'Контекстная реклама']"
Frontend разработчик (middle/middle+),Инноскрипта Интернешнл,121800.0,От 1 года до 3 лет,"['Английский язык', 'JavaScript', 'React', 'Redux']"
QA Automation/Continuous Integration Engineer- KernelCare [Remote],Cloud Linux,,От 3 до 6 лет,"['Python', 'Jenkins', 'Shell Scripting', 'Ansible', 'Docker', 'Linux']"
Специалист по защите информации,Газпром нефть,,От 1 года до 3 лет,"['Информационная безопасность', 'Информационные технологии', 'Выявление каналов утечки информации', 'Регистрация', 'Умение слушать']"
Backend Developer (C++),Аркадия,,От 1 года до 3 лет,"['Git', 'C#', 'Английский язык', 'WPF', '.NET Framework', 'C++']"
Junior Backend Developer,Кабанов Иван Сергеевич,40000.0,Нет опыта,"['Node.js', 'JavaScript', 'MongoDB', 'Blockchain', 'Git', 'MySQL', 'Криптовалюта', 'Web', 'Блокчейн', 'Java Script']"
Web-дизайнер с навыками векторной иллюстрации и 2D анимации,AT-WORK,,От 1 года до 3 лет,"['UI', 'figma', 'фигма', 'Figma', 'Web Design', 'Веб-дизайн', 'Графический дизайн', 'Дизайн интерфейсов', 'Работа в команде', 'Adobe Illustrator', 'Adobe Photoshop', 'Web-дизайн', 'Проектирование пользовательских интерфейсов', 'Прототипирование', 'Дизайн', 'Английский язык', 'Usability']"
Программист 1С(работа из офиса),Нордпласт,,От 3 до 6 лет,"['1С: Бухгалтерия', '1С: Предприятие 8', 'XML', '1С: Зарплата и управление персоналом', '1С: Управление Производственным Предприятием', '1С: Зарплата и кадры']"
Менеджер проектов аутсорсинга,БС Актив,70000.0,От 1 года до 3 лет,"['Управление персоналом', 'Аутсорсинг', '1С: Предприятие 8', 'Деловое общение', 'Мобильность', 'Управленческая отчетность', 'Урегулирование конфликтов', 'Управление отношениями с клиентами', 'Ведение отчетности', 'Навыки межличностного общения', 'Внутренний контроль', 'Пользователь ПК', 'Работа с персоналом', 'Умение работать в режиме многозадачности', 'Знание программы 1С', 'Опытный пользователь ПК, знание MS Office', 'Высшее образование', 'Контроль работы персонала', 'B2B Продажи']"
Администратор сайта/ web-программист,Нордпласт,70000.0,От 1 года до 3 лет,"['jQuery', 'MySQL', 'CSS', 'HTML', 'JavaScript', '1С-Битрикс']"
Маркетолог,Кисточки Финанс,70000.0,От 1 года до 3 лет,"['Google Analytics', 'Google Tag Manager', 'B2C маркетинг', 'Оперативный поиск информации в сети Интернет', 'GTM', 'Digital Marketing', 'Internet Marketing']"
Стажер Software Developer Engineer in Test (SDET) по направлению Java,VK,,От 1 года до 3 лет,"['Java', 'QA automation']"
Главный технолог,Ключевые Системы и Компоненты,,Более 6 лет,"['Руководство коллективом', '1С: Производство', 'ERP-системы на базе 1С', 'Сборочное производство', 'Производство комплектующих', 'Вентиляция и кондиционирование', 'ЖД компоненты', 'Главный технолог', 'Технологические бизнес-процессы']"
Backend developer (Python),The Head,150000.0,От 1 года до 3 лет,"['Python', 'MySQL', 'Linux', 'Мобильность', 'Базы данных', 'Django Framework', 'PostgreSQL', 'SQL']"
Инженер технической поддержки (PL/SQL),Weigandt-consulting,,Нет опыта,"['SQL', 'Linux', 'Oracle Pl/SQL', 'Английский язык']"
DevOps инженер (СберЧат),Сбербанк,,От 1 года до 3 лет,"['Linux', 'Разработка технических заданий', 'Обучение', 'Мобильность', 'Windows Os']"
Начинающий программист 1С,Веллдорис,100000.0,От 1 года до 3 лет,"['Работа в команде', '1С программирование', '1С: Документооборот', '1С: Управление Торговлей', '1С: Комплексная автоматизация', 'Знание 1С', 'Отличное знание ПК']"
Node.JS Senior Developer,Itransition,,От 3 до 6 лет,"['JavaScript', 'Node.js', 'AngularJS', 'HTML', 'ООП']"
Senior Game designer/ Producer | SPB,Sperasoft,,От 3 до 6 лет,"['Project management', 'Английский язык', 'MS PowerPoint', 'Atlassian Confluence', 'Multitasking']"
Главный инженер проекта (комплексный),Интеграция проектов,,Более 6 лет,[]
Инженер слаботочных систем,Управляющая компания,,От 3 до 6 лет,"['Оперативный поиск информации в сети Интернет', 'Google Chrome', 'Материальная ответственность', 'проектирование СКУД', 'ПК', 'Точность и внимательность к деталям', 'Умение работать в условиях многозадачности', 'Работа с электроинструментом', 'Способность к систематизации', 'Самостоятельная работа']"
Администратор баз данных/ Linux администратор,Российский аукционный дом,,От 3 до 6 лет,"['Zabbix', 'Ansible', 'Gitlab', 'VMware', 'Docker', 'Jenkins']"
Методист образовательных продуктов,Skyeng,,От 3 до 6 лет,"['Управление проектами', 'Креативность', 'Обучение и развитие']"
Системный администратор,Sungwoo Hitech,49590.0,От 1 года до 3 лет,"['Windows Server 2003', 'Active Directory', 'Администрирование серверов Windows', 'DHCP', 'WSUS']"
Сервисный менеджер (удаленно),ОпенСервис,40000.0,От 1 года до 3 лет,"['SQL', 'Точность и внимательность к деталям', 'Работа с клиентами', 'Системное мышление', 'iiko', 'R-Keeper', 'ServiceDesk', 'Удаленная работа', 'Выявление потребностей клиента', 'Умение работать с людьми', 'Желание работать и развиваться']"
Senior DevOps Engineer (Remote),Spark Equation,210000.0,От 3 до 6 лет,"['SQL', 'AWS', 'Azure', 'Linux', 'Scripting', 'Docker', 'CI/CD', 'Terraform']"
DevOps engineer,Сбербанк,,От 1 года до 3 лет,"['Linux', 'Jenkins', 'Atlassian Jira', 'Python', 'Git']"
Помощник программиста 1С,ТД Форт,40000.0,От 1 года до 3 лет,"['1С программирование', '1С: Бухгалтерия', '1С: Бухгалтерия и склад', '1С: Документооборот']"
